"Name","Source","Source.of.wealth","NetWorth","Est.year","Country","Name2","img","img_src","lab_col"
"Lex Luther","Superman","Engineering",75,2022,"United States","Lex Luther","https://upload.wikimedia.org/wikipedia/en/9/9b/Lex_Luthor_%28comic_book_supervillain%29_infobox_image.png","Art by David Finch, DC Comics, https://www.previewsworld.com/Catalog/APR108171","#3a3d7b"
"Scrooge McDuck","Comics","Mining, treasure hunting",65.4,2013,"United States","Scrooge McDuck","https://i.imgur.com/Qb58AdC.png","Image source: https://scrooge-mcduck.fandom.com/wiki/Scrooge_McDuck?file=ScroogeLogo.jpg","#00029c"
"Smaug the Dragon","The Hobbit","Dragoning",54.1,2013,"Middle Earth","Smaug the Dragon","https://i.imgur.com/Y4EpJic.png","Image source: https://static.wikia.nocookie.net/lotr/images/e/e0/SMAUG.jpg","#483411"
"Carlisle Cullen","Twilight","Investing",46,2013,"United States","Carlisle Cullen","https://i.imgur.com/TLJVVcL.png","Image source: https://static.wikia.nocookie.net/twilightsaga/images/f/ff/Carlisle-562696_429619547081277_192949464_n-600x840.jpg","#11111f"
"Kingpin","Spiderman ","Real estate, technology, racketeering",20,2022,"United States","Kingpin","https://i.imgur.com/tubxgP9.png","Image source: https://www.writeups.org/wp-content/uploads/Kingpin-Marvel-Comics-Wilson-Fisk-c.jpg","#020204"
"Gordon Gekko","Wall Street","Insider trading",16.5,2022,"United States","Gordon Gekko","https://i.imgur.com/zqEqDBu.png","Image by 20th Century Fox, source: https://upload.wikimedia.org/wikipedia/en/4/40/Gordon_Gekko.jpg","#070707"
"Tony Stark","Iron Man","Defense",12.4,2022,"United States","Tony Stark","https://i.imgur.com/Gy2QQ30.png","Image source: https://w7.pngwing.com/pngs/976/580/png-transparent-iron-man.png","#310b0a"
"Charles Foster Kane","Citizen Kane","Media",11.2,2013,"United States","Charles Foster
Cane","https://i.imgur.com/63ZkuwU.png","RKO Radio Pictures, still photographer Alexander Kahle, Public domain, via Wikimedia Commons","#2d2d2d"
"Norman Osborn","Spider-Man","Science, technology, arms dealing",10,2022,"United States","Norman Osborne","https://i.imgur.com/OnznM7I.png","Art by Kalman Andrasofszky, Marvel Comics, Dark Reign: The Goblin Legacy vol. 1, 1, July 2009","#1f1513"
"Montgomery Burns","The Simpsons","Science, technology, music",8,2022,"United States","Montgomery Burns","https://i.imgur.com/76kY7rQ.png","Art by http://www.foxflash.com, Fair use, https://en.wikipedia.org/w/index.php?curid=5569813","#123d3c"
"Ozymandias","Watchmen","Science, technology, marketing, war profiteering",7,2022,"United States","Ozymandias","https://i.imgur.com/rKErACW.png","Image source: https://static.wikia.nocookie.net/character-level/images/3/3c/OzymandiasArt.jpg","#303145"
"Auric Goldfinger","James Bond","Trading, investing, jewellery ",6.5,2022,"Latvia, United Kingdom","Auric Goldfinger","","",""
"Richie Rich","Comics","Inheritance",5.8,2022,"United States","Richie Rich","","",""
"Terry Benedict","Oceans 11, 13","Gambling, real estate",3.3,2022,"United States","Terry Benedict","","",""
"Tywin Lannister","Game of Thrones","Mining, loan interest, war profiteering",1.8,2022,"Westeros","Tywin Lannister","","",""
